0,10.458,6.1651,2.997,2.0722,10.683,5.5828,3.8239,2.9459,2.2096,3.1029,2.969,6.856,4.3808,9.3449,10.057,1.2209,7.5364,7.0424,5.8452,9.706,9.2396,6.8358,0.41129,6.2437,8.1285,8.9065,6.9721,6.8782,9.3711,5.657,9.6285,3.8093,11.344,5.7086,2.7194,8.8696,6.1922,4.4608,10.109,4.8429,3.8837,8.2815,1.5317,3.3592,1.1876,5.8708,7.4433,3.6367,8.1314,0.78947,6.8061,0,10.458,6.1651,2.997,2.0722,10.683,5.5828,3.8239,2.9459,2.2096,3.1029,2.969,6.856,4.3808,3.1029,2.969
10.458,0,8.8296,10.367,11.204,2.6667,5.6248,6.6592,8.1871,8.2788,7.387,8.3467,5.5986,6.6544,1.9403,1.9731,11.432,4.1378,8.3502,12.033,4.0912,3.3935,4.5357,10.745,4.9606,5.1623,1.9292,5.0422,4.4879,1.5849,4.8405,1.6871,6.9825,3.0779,7.1662,9.1161,3.8484,5.3622,7.1244,0.73653,5.6385,8.0312,3.6635,9.8706,11.381,9.6949,6.1735,3.4905,9.4844,2.6479,11.117,8.5361,10.458,0,8.8296,10.367,11.204,2.6667,5.6248,6.6592,8.1871,8.2788,7.387,8.3467,5.5986,6.6544,7.387,8.3467
6.1651,8.8296,0,8.6148,5.0354,7.4692,7.4541,5.5682,6.904,5.6376,4.8267,3.4884,8.957,3.5483,8.9262,9.6533,7.3335,8.5443,1.0316,3.4411,5.7859,5.891,8.023,6.0794,7.6461,9.8861,8.3437,3.7887,4.4125,7.2609,5.278,9.0612,3.9357,7.9089,1.7914,3.4559,5.3592,3.6271,7.6186,8.1615,5.7492,7.8295,9.0161,7.0761,4.1813,4.9995,2.8098,7.768,8.661,6.2534,6.8994,0.72576,6.1651,8.8296,0,8.6148,5.0354,7.4692,7.4541,5.5682,6.904,5.6376,4.8267,3.4884,8.957,3.5483,4.8267,3.4884
2.997,10.367,8.6148,0,5.0627,11.318,4.7795,4.1924,2.3182,3.1088,4.198,5.1312,5.4732,5.8427,8.8253,9.4196,2.6312,6.6251,9.3392,8.8156,10.785,10.129,6.0099,3.3475,5.4808,6.6669,8.5371,8.2563,7.8933,9.673,6.1491,9.1375,5.2207,12.011,7.6825,5.2581,9.8887,7.4748,3.279,10.22,5.0343,2.3699,7.3557,1.5889,6.3544,3.8377,7.4717,6.9343,1.0929,8.5616,2.7632,9.1581,2.997,10.367,8.6148,0,5.0627,11.318,4.7795,4.1924,2.3182,3.1088,4.198,5.1312,5.4732,5.8427,4.198,5.1312
2.0722,11.204,5.0354,5.0627,0,10.934,7.0285,4.9633,4.7248,3.5997,3.9901,2.8899,8.4536,4.6045,10.395,11.143,2.7876,8.8855,6.0327,3.8849,9.6695,9.3748,8.1887,1.7185,7.6121,9.7011,9.8925,6.9647,7.0971,9.9158,6.3935,10.649,4.2211,11.543,5.1937,2.1853,8.9277,6.271,6.1692,10.742,5.8844,5.7511,9.598,3.5889,1.3468,1.7676,5.7087,8.5942,5.6906,8.6669,2.4426,5.7483,2.0722,11.204,5.0354,5.0627,0,10.934,7.0285,4.9633,4.7248,3.5997,3.9901,2.8899,8.4536,4.6045,3.9901,2.8899
10.683,2.6667,7.4692,11.318,10.934,0,6.9508,7.1999,9.0082,8.6914,7.6178,8.0672,7.4394,6.3868,4.3106,4.5745,11.805,6.0465,6.7524,10.882,1.8106,1.6093,6.1969,10.889,6.4294,7.3464,4.0127,4.0157,3.8502,1.8856,5.1999,4.1523,6.8968,0.69425,6.1058,8.7494,2.1258,4.6634,8.3194,2.0433,6.2862,9.1584,5.8096,10.472,10.791,9.7096,5.301,5.1438,10.61,2.767,11.428,7.0018,10.683,2.6667,7.4692,11.318,10.934,0,6.9508,7.1999,9.0082,8.6914,7.6178,8.0672,7.4394,6.3868,7.6178,8.0672
5.5828,5.6248,7.4541,4.7795,7.0285,6.9508,0,2.1739,2.791,3.4609,3.199,4.8273,1.548,3.9158,4.051,4.6741,6.2803,1.9688,7.6761,9.4617,6.9038,6.0965,1.2835,5.9572,0.71018,2.7046,3.7615,5.0501,4.3865,5.1444,2.5079,4.3618,3.6603,7.6366,5.8,5.5357,6.0328,4.4901,1.5056,5.5563,1.7061,2.4172,2.7212,4.5692,7.7655,5.268,5.004,2.1571,3.8607,4.2307,6.0624,7.6532,5.5828,5.6248,7.4541,4.7795,7.0285,6.9508,0,2.1739,2.791,3.4609,3.199,4.8273,1.548,3.9158,3.199,4.8273
3.8239,6.6592,5.5682,4.1924,4.9633,7.1999,2.1739,0,1.8884,1.6226,1.0278,2.6599,3.7078,2.0821,5.5364,6.2619,4.7749,3.9281,5.9716,7.3044,6.5929,5.9451,3.2368,4.1422,2.674,4.8744,5.0851,4.1243,3.7068,5.6855,2.0004,5.8141,1.6349,7.8877,4.1028,3.3619,5.6963,3.3723,2.0601,6.358,1.0224,2.4573,4.6349,3.2873,5.6106,3.246,3.5626,3.6648,3.6958,4.4923,4.4588,5.8886,3.8239,6.6592,5.5682,4.1924,4.9633,7.1999,2.1739,0,1.8884,1.6226,1.0278,2.6599,3.7078,2.0821,1.0278,2.6599
2.9459,8.1871,6.904,2.3182,4.7248,9.0082,2.791,1.8884,0,1.3493,2.1259,3.5076,3.9281,3.7276,6.7868,7.4432,3.5013,4.7548,7.4816,7.9026,8.4766,7.8118,4.0745,3.3488,3.4941,5.2014,6.4322,5.9981,5.5951,7.3957,3.831,7.0905,3.1406,9.7006,5.694,3.9329,7.5786,5.2316,1.5176,7.9847,2.722,1.0587,5.5076,1.7786,5.7483,3.0112,5.325,4.8593,1.8543,6.2595,3.3153,7.3468,2.9459,8.1871,6.904,2.3182,4.7248,9.0082,2.791,1.8884,0,1.3493,2.1259,3.5076,3.9281,3.7276,2.1259,3.5076
2.2096,8.2788,5.6376,3.1088,3.5997,8.6914,3.4609,1.6226,1.3493,0,1.1372,2.1844,4.8546,2.7544,7.1356,7.8497,3.1652,5.3788,6.2844,6.5676,7.9075,7.3408,4.6763,2.5465,4.0871,6.1068,6.6982,5.2625,5.0078,7.2618,3.5407,7.4189,2.1274,9.3697,4.5792,2.5842,7.0306,4.4687,2.6078,7.9618,2.645,2.3928,6.115,1.8298,4.4944,1.8325,4.3829,5.2378,3.0234,6.0435,2.8379,6.1251,2.2096,8.2788,5.6376,3.1088,3.5997,8.6914,3.4609,1.6226,1.3493,0,1.1372,2.1844,4.8546,2.7544,1.1372,2.1844
