1,1,480,720,LSF,Musique
2,1,480,720,LSF,Mecanique
3,1,840,1080,LSF,Electricite
4,2,840,1080,LSF,Musique
5,2,480,720,LSF,Mecanique
6,2,840,1080,LSF,Electricite
7,3,480,720,LSF,Musique
8,3,840,1080,LSF,Mecanique
9,4,480,720,LSF,Electricite
10,4,840,1080,LSF,Musique
11,4,480,720,LSF,Mecanique
12,5,480,720,LSF,Electricite
13,5,840,1080,LSF,Musique
14,5,480,720,LSF,Mecanique
15,5,840,1080,LSF,Electricite
16,1,480,720,LPC,Musique
17,1,480,720,LPC,Mecanique
18,1,840,1080,LPC,Electricite
19,2,840,1080,LPC,Musique
20,2,480,720,LPC,Mecanique
21,2,840,1080,LPC,Electricite
22,3,480,720,LPC,Musique
23,3,840,1080,LPC,Mecanique
24,4,480,720,LPC,Electricite
25,4,840,1080,LPC,Musique
26,4,480,720,LPC,Mecanique
27,5,480,720,LPC,Electricite
28,5,840,1080,LPC,Musique
29,5,480,720,LPC,Mecanique
30,5,840,1080,LPC,Electricite
